Scene,Camera,Raw_Score,Best_Post_Score,Fix_Type,Delta,Status,Final_File
2,BirdEye,61,85,denoise,24,PASS,hyper_scene2_BirdEye_FINAL.png
2,DriverPOV,59,90,denoise,31,PASS,hyper_scene2_DriverPOV_FINAL.png
2,SecurityCam,66,96,combined_aggressive,30,PASS,hyper_scene2_SecurityCam_FINAL.png
2,Wide,59,100,combined_conservative,41,PASS,hyper_scene2_Wide_FINAL.png
3,BirdEye,59,94,denoise,35,PASS,hyper_scene3_BirdEye_FINAL.png
3,DriverPOV,69,69,none,0,WARN,hyper_scene3_DriverPOV_FINAL.png
3,SecurityCam,63,99,combined_aggressive,36,PASS,hyper_scene3_SecurityCam_FINAL.png
3,Wide,57,99,combined_conservative,42,PASS,hyper_scene3_Wide_FINAL.png
4,BirdEye,63,99,denoise,36,PASS,hyper_scene4_BirdEye_FINAL.png
4,DriverPOV,62,84,denoise,22,PASS,hyper_scene4_DriverPOV_FINAL.png
4,SecurityCam,68,87,combined_aggressive,19,PASS,hyper_scene4_SecurityCam_FINAL.png
4,Wide,61,100,denoise,39,PASS,hyper_scene4_Wide_FINAL.png
